Locality,percentage of graduates from BA,value of apartments,symbol statistical area,city symbol,
Jerusalem,20.0,"15,748",1351,3000,
Jerusalem,12.8,"14,977",1352,3000,
Jerusalem,10.2,"14,024",1353,3000,
Jerusalem,12.8,"14,794",1354,3000,
Jerusalem,17.1,"14,423",1355,3000,
Jerusalem,6.3,"16,547",1621,3000,
Jerusalem,21.8,"15,741",1622,3000,
Jerusalem,19.8,"14,639",1623,3000,
Jerusalem,11.2,"15,367",1631,3000,
Jerusalem,14.6,"14,464",1632,3000,
Jerusalem,12.4,"13,820",1633,3000,
Jerusalem,17.4,"15,876",1634,3000,
Jerusalem,11.0,"13,515",1641,3000,
Jerusalem,14.1,"14,368",1642,3000,
Jerusalem,18.7,"14,594",1643,3000,
Jerusalem,22.3,"13,907",1644,3000,
Tel Aviv-Yafo,37.7,"25,015",113,5000,
Tel Aviv-Yafo,33.7,"22,723",114,5000,
Tel Aviv-Yafo,35.5,"28,125",115,5000,
Tel Aviv-Yafo,36.5,"24,236",121,5000,
Tel Aviv-Yafo,36.0,"27,819",122,5000,
Tel Aviv-Yafo,40.5,"27,289",123,5000,
Tel Aviv-Yafo,38.7,"27,775",124,5000,
Tel Aviv-Yafo,43.1,"22,462",125,5000,
Tel Aviv-Yafo,37.8,"26,123",131,5000,
Tel Aviv-Yafo,42.5,"26,575",132,5000,
Tel Aviv-Yafo,44.9,"26,812",133,5000,
Tel Aviv-Yafo,38.7,"32,817",134,5000,
Tel Aviv-Yafo,50.7,"27,636",211,5000,
Tel Aviv-Yafo,41.6,"24,780",212,5000,
Tel Aviv-Yafo,42.8,"29,772",213,5000,
Tel Aviv-Yafo,41.9,"23,534",214,5000,
Tel Aviv-Yafo,31.6,"25,255",215,5000,
Tel Aviv-Yafo,30.3,"20,321",216,5000,
Tel Aviv-Yafo,47.9,"25,876",222,5000,
Tel Aviv-Yafo,40.0,"20,393",223,5000,
Tel Aviv-Yafo,38.7,"21,583",224,5000,
Tel Aviv-Yafo,20.2,"20,610",225,5000,
Tel Aviv-Yafo,15.7,"18,164",226,5000,
Tel Aviv-Yafo,41.7,"21,492",231,5000,
Tel Aviv-Yafo,37.2,"22,461",232,5000,
Tel Aviv-Yafo,34.2,"27,073",233,5000,
Tel Aviv-Yafo,30.8,"31,373",312,5000,
Tel Aviv-Yafo,36.3,"31,411",313,5000,
Tel Aviv-Yafo,47.6,"32,407",314,5000,
Tel Aviv-Yafo,48.9,"29,584",315,5000,
Tel Aviv-Yafo,44.9,"28,244",316,5000,
Tel Aviv-Yafo,37.5,"26,956",317,5000,
Tel Aviv-Yafo,34.3,"28,672",321,5000,
Tel Aviv-Yafo,40.3,"32,565",322,5000,
Tel Aviv-Yafo,46.3,"28,345",323,5000,
Tel Aviv-Yafo,46.6,"28,742",324,5000,
Tel Aviv-Yafo,43.2,"29,435",325,5000,
Tel Aviv-Yafo,35.0,"30,777",326,5000,
Tel Aviv-Yafo,36.9,"30,881",333,5000,
Tel Aviv-Yafo,32.6,"27,429",334,5000,
Tel Aviv-Yafo,23.8,"33,084",335,5000,
Tel Aviv-Yafo,33.3,"32,098",336,5000,
Tel Aviv-Yafo,37.2,"27,375",337,5000,
Tel Aviv-Yafo,42.5,"22,998",341,5000,
Tel Aviv-Yafo,40.6,"25,634",342,5000,
Tel Aviv-Yafo,38.2,"27,677",343,5000,
Tel Aviv-Yafo,34.0,"26,481",344,5000,
Tel Aviv-Yafo,38.8,"26,598",345,5000,
Tel Aviv-Yafo,40.9,"25,541",346,5000,
Tel Aviv-Yafo,43.1,"27,856",347,5000,
Tel Aviv-Yafo,41.0,"25,553",348,5000,
